2020년_ [기숙사 수용 현황 (대학)],,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기준연도,학교종류,설립구분,지역,상태,학교,재학생수(A),총 실수,수용가능인원(B),실제 수용 인원,,,"기숙사수용률
(C=B/Ax100)",기숙사 지원자 수(D),,,"입사 경쟁률
(E=D/B)","의무식
여부",구분,건물명,준공연도,1인실,,2인실,,3인실,,4인실 이상,
,,,,,,,,,학위과정,,비학위과정,,,,,,,,,,실수,기숙사비,실수,기숙사비,실수,기숙사비,실수,기숙사비
,,,,,,,,,내국인,외국인,외국인,,동일지역,타지역,합계,,,,,,,,,,,,,
2020,대학교,국립,경남,기존,경상국립대학교,"15,050",36,"3,677",0,0,0,24.4,0,182,182,1.5,O,직영(구내),LG개척관동,2005,0,0,36,146,0,0,0,0
2020,대학교,국립,경남,기존,경상국립대학교,"15,050",262,"3,677",0,0,0,24.4,0,891,891,1.5,O,직영(구내),"생활관6,7동",2003,0,0,262,146,0,0,0,0
2020,대학교,국립,경남,기존,경상국립대학교,"15,050",365,"3,677",268,50,9,24.4,0,971,971,1.5,O,민자(BTL),생활관9동,2009,14,242.1,351,149.5,0,0,0,0
2020,대학교,국립,경남,기존,경상국립대학교,"15,050",147,"3,677",0,0,0,24.4,0,584,584,1.5,O,직영(구내),생활관5동,1999,0,0,147,142.6,0,0,0,0
2020,대학교,국립,경남,기존,경상국립대학교,"15,050",217,"3,677",117,0,0,24.4,0,773,773,1.5,O,민자(BTL),생활관10동,2015,24,255.7,193,165.1,0,0,0,0
2020,대학교,국립,경남,기존,경상국립대학교,"15,050",197,"3,677",128,0,0,24.4,0,585,585,1.5,O,민자(BTL),생활관11동,2015,4,255.7,193,165.1,0,0,0,0
2020,대학교,국립,경남,기존,경상국립대학교,"15,050",365,"3,677",234,28,4,24.4,0,"1,055","1,055",1.5,O,민자(BTL),생활관8동,2009,14,242.1,351,149.5,0,0,0,0
2020,대학교,국립,경남,기존,경상국립대학교,"15,050",195,"3,677",244,1,0,24.4,11,275,286,1.5,O,민자(BTL),홍지관,2009,135,350.6,60,0,0,0,0,0
2020,대학교,국립,경남,기존,경상국립대학교,"15,050",57,"3,677",6,0,0,24.4,0,6,6,1.5,O,직영(구내),경양관3호,2011,0,0,57,161.3,0,0,0,0
2020,대학교,국립,경남,기존,경상국립대학교,"15,050",82,"3,677",28,1,0,24.4,0,29,29,1.5,O,직영(구내),경양관2호,1992,0,0,82,95.6,0,0,0,0
2020,대학교,국립,경남,기존,경상국립대학교,"15,050",11,"3,677",7,0,0,24.4,0,7,7,1.5,O,직영(구내),경양관1호,1977,0,0,11,175,0,0,0,0
2020,대학교,사립,부산,기존,경성대학교,"12,853",1,"1,415",0,0,0,11,0,0,0,1.5,X,직영(구외),체육부(야구) 202호 숙소,1980,0,0,0,0,0,0,1,0
2020,대학교,사립,부산,기존,경성대학교,"12,853",1,"1,415",6,0,0,11,1,5,6,1.5,X,직영(구외),체육부(레슬링) 307호 숙소,1980,0,0,0,0,0,0,1,0
2020,대학교,사립,부산,기존,경성대학교,"12,853",1,"1,415",7,0,0,11,2,5,7,1.5,X,직영(구내),체육부(레슬링) 주택 숙소,1976,0,0,0,0,0,0,1,0
2020,대학교,사립,부산,기존,경성대학교,"12,853",1,"1,415",0,0,0,11,0,0,0,1.5,X,직영(구내),체육부(야구) 주택 숙소,1970,0,0,0,0,0,0,1,0
2020,대학교,사립,부산,기존,경성대학교,"12,853",359,"1,415",0,33,14,11,119,784,903,1.5,X,직영(구내),28호관,2006,0,0,359,238.9,0,0,0,0
2020,대학교,사립,부산,기존,경성대학교,"12,853",1,"1,415",0,0,0,11,0,0,0,1.5,X,직영(구내),체육부(야구) 주택 숙소2,1968,0,0,0,0,0,0,1,0
2020,대학교,사립,부산,기존,경성대학교,"12,853",312,"1,415",0,0,0,11,129,"1,044","1,173",1.5,X,직영(구내),29호관,2015,4,373,308,249.6,0,0,0,0
2020,대학교,사립,부산,기존,경성대학교,"12,853",1,"1,415",0,0,0,11,0,0,0,1.5,X,직영(구외),체육부(야구) 201호 숙소,1980,0,0,0,0,0,0,1,0
2020,대학교,사립,경북,기존,경운대학교,"4,396",49,"1,511",0,0,0,34.4,6,121,127,0.9,X,직영(구내),학생생활관B동,2001,0,0,0,0,0,0,49,116
2020,대학교,사립,경북,기존,경운대학교,"4,396",4,"1,511",0,0,0,34.4,0,0,0,0.9,X,직영(구외),간호학과생활관,2009,0,0,0,0,0,0,4,0
2020,대학교,사립,경북,기존,경운대학교,"4,396",80,"1,511",0,0,0,34.4,8,168,176,0.9,X,직영(구내),학생생활관C동,2002,0,0,0,0,0,0,80,116
2020,대학교,사립,경북,기존,경운대학교,"4,396",15,"1,511",0,0,0,34.4,0,0,0,0.9,X,직영(구내),학사생활관B동,2000,0,0,15,0,0,0,0,0
2020,대학교,사립,경북,기존,경운대학교,"4,396",151,"1,511",0,0,0,34.4,20,374,394,0.9,X,직영(구내),학생생활관D동,2006,0,0,151,161.3,0,0,0,0
